Time (s),AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,Sampling Rate
2.9687500000e-001,4.1769228516e+003,4.2482050781e+003,4.1871796875e+003,4.1764101563e+003,4.2820512695e+003,4.1682050781e+003,4.2123076172e+003,4.1984614258e+003,4.1841025391e+003,4.2553847656e+003,4.1846152344e+003,4.1769228516e+003,4.2184614258e+003,4.1738461914e+003,
3.0468750000e-001,4.1810258789e+003,4.2497436523e+003,4.1871796875e+003,4.1748715820e+003,4.2928203125e+003,4.1687177734e+003,4.2251284180e+003,4.2066665039e+003,4.1841025391e+003,4.2789741211e+003,4.1851284180e+003,4.1810258789e+003,4.2246152344e+003,4.1748715820e+003,
3.1250000000e-001,4.1820512695e+003,4.2451284180e+003,4.1856411133e+003,4.1687177734e+003,4.2748715820e+003,4.1702563477e+003,4.2266665039e+003,4.1933334961e+003,4.1851284180e+003,4.2897436523e+003,4.1856411133e+003,4.1805126953e+003,4.2256411133e+003,4.1733334961e+003,
3.2031250000e-001,4.1805126953e+003,4.2435898438e+003,4.1841025391e+003,4.1666665039e+003,4.2810258789e+003,4.1707690430e+003,4.2338461914e+003,4.1882050781e+003,4.1846152344e+003,4.2907690430e+003,4.1866665039e+003,4.1784614258e+003,4.2307690430e+003,4.1712822266e+003,
3.2812500000e-001,4.1805126953e+003,4.2435898438e+003,4.1841025391e+003,4.1666665039e+003,4.2810258789e+003,4.1707690430e+003,4.2338461914e+003,4.1882050781e+003,4.1846152344e+003,4.2907690430e+003,4.1866665039e+003,4.1784614258e+003,4.2307690430e+003,4.1712822266e+003,
3.3593750000e-001,4.1830771484e+003,4.2466665039e+003,4.1841025391e+003,4.1728203125e+003,4.2969228516e+003,4.1697436523e+003,4.2446152344e+003,4.2005126953e+003,4.1841025391e+003,4.3020512695e+003,4.1861538086e+003,4.1841025391e+003,4.2389741211e+003,4.1758974609e+003,
3.4375000000e-001,4.1815385742e+003,4.2461538086e+003,4.1830771484e+003,4.1738461914e+003,4.2733334961e+003,4.1692309570e+003,4.2492309570e+003,4.2015385742e+003,4.1846152344e+003,4.2943588867e+003,4.1835898438e+003,4.1805126953e+003,4.2430771484e+003,4.1748715820e+003,
3.5156250000e-001,4.1794873047e+003,4.2451284180e+003,4.1871796875e+003,4.1728203125e+003,4.2687177734e+003,4.1697436523e+003,4.2476923828e+003,4.1964101563e+003,4.1856411133e+003,4.2764101563e+003,4.1830771484e+003,4.1764101563e+003,4.2364101563e+003,4.1758974609e+003,
3.5937500000e-001,4.1779487305e+003,4.2476923828e+003,4.1866665039e+003,4.1738461914e+003,4.3266665039e+003,4.1692309570e+003,4.2548715820e+003,4.2210258789e+003,4.1856411133e+003,4.3107690430e+003,4.1851284180e+003,4.1774360352e+003,4.2482050781e+003,4.1774360352e+003,
3.6718750000e-001,4.1800000000e+003,4.2507690430e+003,4.1820512695e+003,4.1728203125e+003,4.3476923828e+003,4.1697436523e+003,4.2738461914e+003,4.2379487305e+003,4.1851284180e+003,4.3379487305e+003,4.1861538086e+003,4.1789741211e+003,4.2702563477e+003,4.1733334961e+003,
3.7500000000e-001,4.1810258789e+003,4.2502563477e+003,4.1810258789e+003,4.1733334961e+003,4.3010258789e+003,4.1717949219e+003,4.2815385742e+003,4.2241025391e+003,4.1841025391e+003,4.3271796875e+003,4.1861538086e+003,4.1794873047e+003,4.2738461914e+003,4.1738461914e+003,
3.8281250000e-001,4.1779487305e+003,4.2482050781e+003,4.1800000000e+003,4.1758974609e+003,4.2753847656e+003,4.1712822266e+003,4.2666665039e+003,4.2184614258e+003,4.1841025391e+003,4.3410258789e+003,4.1861538086e+003,4.1774360352e+003,4.2676923828e+003,4.1738461914e+003,
3.9062500000e-001,4.1820512695e+003,4.2451284180e+003,4.1830771484e+003,4.1764101563e+003,4.3158974609e+003,4.1707690430e+003,4.2558974609e+003,4.2194873047e+003,4.1846152344e+003,4.3435898438e+003,4.1866665039e+003,4.1830771484e+003,4.2702563477e+003,4.1769228516e+003,
3.9843750000e-001,4.1810258789e+003,4.2487177734e+003,4.1846152344e+003,4.1738461914e+003,4.3646152344e+003,4.1717949219e+003,4.2784614258e+003,4.2200000000e+003,4.1841025391e+003,4.3246152344e+003,4.1861538086e+003,4.1825639648e+003,4.2820512695e+003,4.1753847656e+003,
4.0625000000e-001,4.1758974609e+003,4.2497436523e+003,4.1856411133e+003,4.1712822266e+003,4.3348715820e+003,4.1723076172e+003,4.2851284180e+003,4.2251284180e+003,4.1841025391e+003,4.3317949219e+003,4.1856411133e+003,4.1753847656e+003,4.2841025391e+003,4.1717949219e+003,
4.1406250000e-001,4.1805126953e+003,4.2369228516e+003,4.1841025391e+003,4.1748715820e+003,4.2707690430e+003,4.1712822266e+003,4.2600000000e+003,4.2276923828e+003,4.1841025391e+003,4.3312822266e+003,4.1866665039e+003,4.1789741211e+003,4.2723076172e+003,4.1758974609e+003,
4.2187500000e-001,4.1851284180e+003,4.2343588867e+003,4.1779487305e+003,4.1784614258e+003,4.2820512695e+003,4.1707690430e+003,4.2553847656e+003,4.2271796875e+003,4.1841025391e+003,4.3092309570e+003,4.1835898438e+003,4.1810258789e+003,4.2615385742e+003,4.1758974609e+003,
4.2968750000e-001,4.1851284180e+003,4.2502563477e+003,4.1815385742e+003,4.1784614258e+003,4.3184614258e+003,4.1707690430e+003,4.2605126953e+003,4.2215385742e+003,4.1841025391e+003,4.3000000000e+003,4.1825639648e+003,4.1800000000e+003,4.2512822266e+003,4.1733334961e+003,
4.3750000000e-001,4.1784614258e+003,4.2528203125e+003,4.1815385742e+003,4.1753847656e+003,4.2958974609e+003,4.1697436523e+003,4.2441025391e+003,4.2056411133e+003,4.1841025391e+003,4.2805126953e+003,4.1866665039e+003,4.1774360352e+003,4.2282050781e+003,4.1712822266e+003,
4.4531250000e-001,4.1769228516e+003,4.2415385742e+003,4.1820512695e+003,4.1810258789e+003,4.2528203125e+003,4.1687177734e+003,4.2102563477e+003,4.1794873047e+003,4.1841025391e+003,4.2256411133e+003,4.1784614258e+003,4.1769228516e+003,4.1917949219e+003,4.1728203125e+003,
4.5312500000e-001,4.1805126953e+003,4.2425639648e+003,4.1876923828e+003,4.1887177734e+003,4.2307690430e+003,4.1682050781e+003,4.1974360352e+003,4.1661538086e+003,4.1841025391e+003,4.1810258789e+003,4.1723076172e+003,4.1800000000e+003,4.1625639648e+003,4.1758974609e+003,
4.6093750000e-001,4.1784614258e+003,4.2466665039e+003,4.1841025391e+003,4.1805126953e+003,4.2061538086e+003,4.1671796875e+003,4.1887177734e+003,4.1543588867e+003,4.1841025391e+003,4.1615385742e+003,4.1779487305e+003,4.1774360352e+003,4.1400000000e+003,4.1692309570e+003,
4.6875000000e-001,4.1794873047e+003,4.2435898438e+003,4.1805126953e+003,4.1717949219e+003,4.2066665039e+003,4.1666665039e+003,4.1507690430e+003,4.1328203125e+003,4.1841025391e+003,4.1374360352e+003,4.1774360352e+003,4.1810258789e+003,4.1179487305e+003,4.1697436523e+003,
4.7656250000e-001,4.1810258789e+003,4.2446152344e+003,4.1805126953e+003,4.1753847656e+003,4.2215385742e+003,4.1671796875e+003,4.1164101563e+003,4.1364101563e+003,4.1841025391e+003,4.1148715820e+003,4.1697436523e+003,4.1846152344e+003,4.1051284180e+003,4.1733334961e+003,
4.8437500000e-001,4.1784614258e+003,4.2451284180e+003,4.1830771484e+003,4.1835898438e+003,4.1553847656e+003,4.1625639648e+003,4.0810256348e+003,4.1307690430e+003,4.1841025391e+003,4.0830769043e+003,4.1676923828e+003,4.1774360352e+003,4.0810256348e+003,4.1702563477e+003,
4.9218750000e-001,4.1794873047e+003,4.2456411133e+003,4.1866665039e+003,4.1846152344e+003,4.0861538086e+003,4.1569228516e+003,4.0517949219e+003,4.0943588867e+003,4.1835898438e+003,4.0461538086e+003,4.1733334961e+003,4.1779487305e+003,4.0523076172e+003,4.1702563477e+003,
5.0000000000e-001,4.1794873047e+003,4.2497436523e+003,4.1820512695e+003,4.1800000000e+003,4.1200000000e+003,4.1569228516e+003,4.0579487305e+003,4.0994873047e+003,4.1835898438e+003,4.0353845215e+003,4.1753847656e+003,4.1800000000e+003,4.0543588867e+003,4.1687177734e+003,
5.0781250000e-001,4.1800000000e+003,4.2497436523e+003,4.1789741211e+003,4.1841025391e+003,4.1374360352e+003,4.1548715820e+003,4.0610256348e+003,4.1276923828e+003,4.1846152344e+003,4.0353845215e+003,4.1717949219e+003,4.1774360352e+003,4.0620512695e+003,4.1692309570e+003,
5.1562500000e-001,4.1784614258e+003,4.2492309570e+003,4.1794873047e+003,4.1866665039e+003,4.1133334961e+003,4.1594873047e+003,4.0502563477e+003,4.1148715820e+003,4.1861538086e+003,4.0471794434e+003,4.1707690430e+003,4.1789741211e+003,4.0574357910e+003,4.1717949219e+003,
5.2343750000e-001,4.1769228516e+003,4.2589741211e+003,4.1825639648e+003,4.1800000000e+003,4.1446152344e+003,4.1666665039e+003,4.0564101563e+003,4.0938461914e+003,4.1861538086e+003,4.0635898438e+003,4.1728203125e+003,4.1800000000e+003,4.0589743652e+003,4.1697436523e+003,
